time_ms,soma_mv,path100_mv,path200_mv,path300_mv,path400_mv,contact_mv
17.47,-83.899799828,-84.94610925,-85.1065296323,-85.1047316374,-85.1074664583,-85.1186628034
17.475,-83.9018790488,-84.9463724022,-85.1065487098,-85.1047458714,-85.1074844483,-85.1186842452
17.48,-83.9039565737,-84.9466353612,-85.1065677755,-85.1047600946,-85.107502422,-85.1187056662
17.485,-83.9060324041,-84.9468981272,-85.1065868293,-85.104774307,-85.1075203795,-85.1187270665
17.49,-83.9081065415,-84.9471607003,-85.1066058713,-85.1047885086,-85.1075383209,-85.1187484461
17.495,-83.9101789872,-84.9474230806,-85.1066249014,-85.1048026995,-85.107556246,-85.1187698049
17.5,-83.9122497427,-84.9476852684,-85.1066439197,-85.1048168796,-85.1075741551,-85.1187911432
17.505,-83.9143188094,-84.9479472638,-85.1066629262,-85.1048310489,-85.107592048,-85.1188124608
17.51,-83.9163861886,-84.9482090668,-85.1066819208,-85.1048452076,-85.1076099248,-85.1188337579
17.515,-83.9184518818,-84.9484706777,-85.1067009037,-85.1048593555,-85.1076277856,-85.1188550345
17.52,-83.9205158903,-84.9487320966,-85.1067198748,-85.1048734928,-85.1076456304,-85.1188762905
17.525,-83.9225782156,-84.9489933236,-85.1067388341,-85.1048876193,-85.1076634591,-85.1188975261
17.53,-83.9246388591,-84.949254359,-85.1067577817,-85.1049017353,-85.1076812719,-85.1189187413
17.535,-83.9266978222,-84.9495152027,-85.1067767175,-85.1049158405,-85.1076990687,-85.1189399361
17.54,-83.9287551062,-84.949775855,-85.1067956416,-85.1049299352,-85.1077168496,-85.1189611105
17.545,-83.9308107125,-84.950036316,-85.106814554,-85.1049440192,-85.1077346146,-85.1189822647
17.55,-83.9328646426,-84.9502965859,-85.1068334546,-85.1049580927,-85.1077523638,-85.1190033985
17.555,-83.9349168979,-84.9505566648,-85.1068523435,-85.1049721556,-85.1077700971,-85.1190245122
17.56,-83.9369674797,-84.9508165529,-85.1068712208,-85.1049862079,-85.1077878145,-85.1190456056
17.565,-83.9390163894,-84.9510762502,-85.1068900864,-85.1050002496,-85.1078055163,-85.1190666788
17.57,-83.9410636284,-84.9513357569,-85.1069089403,-85.1050142808,-85.1078232022,-85.1190877319
17.575,-83.9431091981,-84.9515950733,-85.1069277825,-85.1050283015,-85.1078408724,-85.119108765
17.58,-83.9451530999,-84.9518541994,-85.1069466131,-85.1050423117,-85.1078585269,-85.1191297779
17.585,-83.9471953352,-84.9521131353,-85.1069654321,-85.1050563114,-85.1078761657,-85.1191507708
